"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dylan Drummond","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dominic Lovett","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Neyor","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malachi Corley","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ja'Lynn Polk","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brenden Rice","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jha'Quan Jackson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Flournoy","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Coker","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tejhaun Palmer","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Restrepo","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Royals","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricky White III","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Nash","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jimmy Horn Jr.","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Watkins","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Junior Bergen","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
